series,episode,baker_name,technical,result,signature_bake,show_stopper,baker_age,hometown,baker_occupation
3,5,John Whaite,2,IN,Venison and Haggis Wellington,Star-Spangled Pecan Pie,22,Wigan,Law student
3,5,Brendan Lynch,3,IN,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,63,Sutton Coldfield,Recruitment consultant
3,5,Sarah-Jane Willis,4,IN,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,28,"Bewbush, West Sussex",Vicar's wife
3,5,Manisha Parmar,5,OUT,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie,27,Leicester,Nursery nurse
3,5,James Morton,6,IN,Four Pig Wellington,Sweet Potato Pie,21,"Hillswick, Shetland Islands",Medical student
3,5,Danny Bryden,7,IN,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,45,Sheffield,Intensive care consultant
3,5,Ryan Chong,8,STAR BAKER,Curry Spiced Seabass Wellington,Key Lime Pie,38,Bristol,Photographer
3,5,Natasha Stringer,NA,NA,NA,NA,36,"Tamworth, Staffordshire",Midwife
3,5,Peter Maloney,NA,NA,NA,NA,43,"Windsor, Berkshire",Sales manager
3,5,Stuart Marston-Smith,NA,NA,NA,NA,26,"Lichfield, Staffordshire",PE teacher
3,5,Victoria Chester,NA,NA,NA,NA,50,Somerset,CEO of the charity Plantlife
3,6,Brendan Lynch,1,STAR BAKER,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",63,Sutton Coldfield,Recruitment consultant
3,6,Danny Bryden,2,IN,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",45,Sheffield,Intensive care consultant
3,6,Cathryn Dresser,3,IN,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,27,"Pease Pottage, West Sussex",Shop assistant
3,6,Sarah-Jane Willis,4,IN,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,28,"Bewbush, West Sussex",Vicar's wife
3,6,John Whaite,5,IN,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,22,Wigan,Law student
3,6,Ryan Chong,6,IN,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",38,Bristol,Photographer
3,6,James Morton,7,IN,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",21,"Hillswick, Shetland Islands",Medical student
3,6,Manisha Parmar,NA,NA,NA,NA,27,Leicester,Nursery nurse
3,6,Natasha Stringer,NA,NA,NA,NA,36,"Tamworth, Staffordshire",Midwife
3,6,Peter Maloney,NA,NA,NA,NA,43,"Windsor, Berkshire",Sales manager
3,6,Stuart Marston-Smith,NA,NA,NA,NA,26,"Lichfield, Staffordshire",PE teacher
3,6,Victoria Chester,NA,NA,NA,NA,50,Somerset,CEO of the charity Plantlife
3,7,James Morton,1,IN,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,21,"Hillswick, Shetland Islands",Medical student
3,7,Danny Bryden,2,STAR BAKER,Bakewell Chelsea Buns,European Christmas Wreath,45,Sheffield,Intensive care consultant
3,7,John Whaite,3,IN,Cherry and Almond Saffron Buns,Marzipan Stollen,22,Wigan,Law student
3,7,Brendan Lynch,4,IN,Chelsea Bunskis,Black Forest Christmas Stollen,63,Sutton Coldfield,Recruitment consultant
3,7,Cathryn Dresser,5,IN,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,27,"Pease Pottage, West Sussex",Shop assistant
3,7,Ryan Chong,6,OUT,Lardy Cakes,Char Siu Bao,38,Bristol,Photographer
3,7,Sarah-Jane Willis,7,OUT,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,28,"Bewbush, West Sussex",Vicar's wife
3,7,Manisha Parmar,NA,NA,NA,NA,27,Leicester,Nursery nurse
3,7,Natasha Stringer,NA,NA,NA,NA,36,"Tamworth, Staffordshire",Midwife
3,7,Peter Maloney,NA,NA,NA,NA,43,"Windsor, Berkshire",Sales manager
3,7,Stuart Marston-Smith,NA,NA,NA,NA,26,"Lichfield, Staffordshire",PE teacher
3,7,Victoria Chester,NA,NA,NA,NA,50,Somerset,CEO of the charity Plantlife
3,8,James Morton,1,STAR BAKER,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn,21,"Hillswick, Shetland Islands",Medical student
3,8,Brendan Lynch,2,IN,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,63,Sutton Coldfield,Recruitment consultant
3,8,John Whaite,3,IN,Asian Spice Crackers,Gingerbread Roman Coliseum,22,Wigan,Law student
3,8,Danny Bryden,4,IN,Spiced Almond Drinks Crackers,Gingerbread Big Ben,45,Sheffield,Intensive care consultant
3,8,Cathryn Dresser,5,OUT,Cheese and Pickle Crackers,Gingerbread Buckingham Palace,27,"Pease Pottage, West Sussex",Shop assistant
3,8,Manisha Parmar,NA,NA,NA,NA,27,Leicester,Nursery nurse
3,8,Natasha Stringer,NA,NA,NA,NA,36,"Tamworth, Staffordshire",Midwife
3,8,Peter Maloney,NA,NA,NA,NA,43,"Windsor, Berkshire",Sales manager
3,8,Ryan Chong,NA,NA,NA,NA,38,Bristol,Photographer
3,8,Sarah-Jane Willis,NA,NA,NA,NA,28,"Bewbush, West Sussex",Vicar's wife
3,8,Stuart Marston-Smith,NA,NA,NA,NA,26,"Lichfield, Staffordshire",PE teacher
3,8,Victoria Chester,NA,NA,NA,NA,50,Somerset,CEO of the charity Plantlife
3,9,James Morton,1,STAR BAKER,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",21,"Hillswick, Shetland Islands",Medical student
3,9,John Whaite,2,IN,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,22,Wigan,Law student
3,9,Brendan Lynch,3,IN,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,63,Sutton Coldfield,Recruitment consultant
3,9,Danny Bryden,4,OUT,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,45,Sheffield,Intensive care consultant
3,9,Cathryn Dresser,NA,NA,NA,NA,27,"Pease Pottage, West Sussex",Shop assistant
3,9,Manisha Parmar,NA,NA,NA,NA,27,Leicester,Nursery nurse
3,9,Natasha Stringer,NA,NA,NA,NA,36,"Tamworth, Staffordshire",Midwife
3,9,Peter Maloney,NA,NA,NA,NA,43,"Windsor, Berkshire",Sales manager
3,9,Ryan Chong,NA,NA,NA,NA,38,Bristol,Photographer
3,9,Sarah-Jane Willis,NA,NA,NA,NA,28,"Bewbush, West Sussex",Vicar's wife
3,9,Stuart Marston-Smith,NA,NA,NA,NA,26,"Lichfield, Staffordshire",PE teacher
3,9,Victoria Chester,NA,NA,NA,NA,50,Somerset,CEO of the charity Plantlife
3,10,James Morton,1,Runner-up,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,21,"Hillswick, Shetland Islands",Medical student
3,10,Brendan Lynch,2,Runner-up,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,63,Sutton Coldfield,Recruitment consultant
3,10,John Whaite,2,WINNER,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,22,Wigan,Law student
3,10,Cathryn Dresser,NA,NA,NA,NA,27,"Pease Pottage, West Sussex",Shop assistant
3,10,Danny Bryden,NA,NA,NA,NA,45,Sheffield,Intensive care consultant
3,10,Manisha Parmar,NA,NA,NA,NA,27,Leicester,Nursery nurse
3,10,Natasha Stringer,NA,NA,NA,NA,36,"Tamworth, Staffordshire",Midwife
3,10,Peter Maloney,NA,NA,NA,NA,43,"Windsor, Berkshire",Sales manager
3,10,Ryan Chong,NA,NA,NA,NA,38,Bristol,Photographer
3,10,Sarah-Jane Willis,NA,NA,NA,NA,28,"Bewbush, West Sussex",Vicar's wife
3,10,Stuart Marston-Smith,NA,NA,NA,NA,26,"Lichfield, Staffordshire",PE teacher
3,10,Victoria Chester,NA,NA,NA,NA,50,Somerset,CEO of the charity Plantlife
4,1,Robert Smart,1,STAR BAKER,Pecan and Apple Cake,Raspberry Chocolate Cake,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,1,Lucy Bellamy,2,IN,Timperley Early Cake,Thyme 'Wildwood' Cake,38,"Grimsby, Lincolnshire",Horticulturist
4,1,Christine Wallace,3,IN,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,66,"Didcot, Oxfordshire",Director of an engraving company
4,1,Glenn Cosby,4,IN,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,37,"Teignmouth, Devon",English Teacher
4,1,Mark Onley,5,IN,Lemon and Poppy Seed Cake,Chocolate Monster,37,Milton Keynes,Carpenter and Kitchen Fitter
4,1,Howard Middleton,6,IN,Passion Fruit and Coconut Cake,Black Forest Revisited,51,Sheffield,Council Worker
4,1,Frances Quinn,7,IN,Giant Jam Sandwich,Secret Squirrel Cake,31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,1,Beca Lyne-Pirkis,8,IN,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,1,Deborah Manger,9,IN,Pineapple Cake,'Coffee Time',51,Peterborough,Dentist
4,1,Kimberley Wilson,10,IN,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake",30,London,Psychologist
4,1,Ali Imdad,11,IN,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",25,"Saltley, Birmingham",Charity worker
4,1,Ruby Tandoh,12,IN,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,20,"Southend, Essex",History of Art and Philosophy Student
4,1,Toby Waterworth,13,OUT,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,30,"Reading, Berkshire",Web Programmer
4,2,Kimberley Wilson,1,IN,Nigella Seed and Parmesan Breadsticks,Peace Bread,30,London,Psychologist
4,2,Frances Quinn,2,IN,Giant Matchsticks,Sailor's Knot,31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,2,Ruby Tandoh,3,STAR BAKER,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,20,"Southend, Essex",History of Art and Philosophy Student
4,2,Christine Wallace,4,IN,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,66,"Didcot, Oxfordshire",Director of an engraving company
4,2,Robert Smart,5,IN,Twisty Rye Bread Sticks,Tribute Loaf,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,2,Mark Onley,6,IN,Rosemary & Raisin Breadsticks,Sage & Garlic Plait,37,Milton Keynes,Carpenter and Kitchen Fitter
4,2,Glenn Cosby,7,IN,Rosemary and Parmesan Grissini,Harvest Crown,37,"Teignmouth, Devon",English Teacher
4,2,Deborah Manger,8,IN,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,51,Peterborough,Dentist
4,2,Ali Imdad,9,IN,Italian Grissini,Sweet and Savoury Yin Yang Bread,25,"Saltley, Birmingham",Charity worker
4,2,Howard Middleton,10,IN,Moroccan Breadsticks,Picasso Sun Bread,51,Sheffield,Council Worker
4,2,Beca Lyne-Pirkis,11,IN,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,2,Lucy Bellamy,12,OUT,Grissini with Salt,Roast Tomato Bread,38,"Grimsby, Lincolnshire",Horticulturist
4,2,Toby Waterworth,NA,NA,NA,NA,30,"Reading, Berkshire",Web Programmer
4,3,Glenn Cosby,1,IN,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,37,"Teignmouth, Devon",English Teacher
4,3,Robert Smart,2,IN,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,3,Ruby Tandoh,3,IN,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,20,"Southend, Essex",History of Art and Philosophy Student
4,3,Christine Wallace,4,STAR BAKER,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,66,"Didcot, Oxfordshire",Director of an engraving company
4,3,Ali Imdad,5,IN,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,25,"Saltley, Birmingham",Charity worker
4,3,Kimberley Wilson,6,IN,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits,30,London,Psychologist
4,3,Howard Middleton,7,IN,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,51,Sheffield,Council Worker
4,3,Frances Quinn,8,IN,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,3,Deborah Manger,9,OUT,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,51,Peterborough,Dentist
4,3,Beca Lyne-Pirkis,10,IN,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,3,Mark Onley,11,OUT,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites,37,Milton Keynes,Carpenter and Kitchen Fitter
4,3,Lucy Bellamy,NA,NA,NA,NA,38,"Grimsby, Lincolnshire",Horticulturist
4,3,Toby Waterworth,NA,NA,NA,NA,30,"Reading, Berkshire",Web Programmer
4,4,Frances Quinn,1,IN,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie,31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,4,Beca Lyne-Pirkis,2,IN,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,4,Robert Smart,3,IN,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,4,Kimberley Wilson,4,STAR BAKER,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie",30,London,Psychologist
4,4,Howard Middleton,5,IN,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,51,Sheffield,Council Worker
4,4,Ruby Tandoh,6,IN,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",20,"Southend, Essex",History of Art and Philosophy Student
4,4,Christine Wallace,7,IN,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,66,"Didcot, Oxfordshire",Director of an engraving company
4,4,Ali Imdad,8,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",25,"Saltley, Birmingham",Charity worker
4,4,Glenn Cosby,9,IN,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese),37,"Teignmouth, Devon",English Teacher
4,4,Deborah Manger,NA,NA,NA,NA,51,Peterborough,Dentist
4,4,Lucy Bellamy,NA,NA,NA,NA,38,"Grimsby, Lincolnshire",Horticulturist
4,4,Mark Onley,NA,NA,NA,NA,37,Milton Keynes,Carpenter and Kitchen Fitter
4,4,Toby Waterworth,NA,NA,NA,NA,30,"Reading, Berkshire",Web Programmer
4,5,Christine Wallace,1,STAR BAKER,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,66,"Didcot, Oxfordshire",Director of an engraving company
4,5,Glenn Cosby,2,IN,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,37,"Teignmouth, Devon",English Teacher
4,5,Frances Quinn,3,IN,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,5,Robert Smart,4,OUT,Blueberry & Orange Traybake,Dalek,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,5,Beca Lyne-Pirkis,5,IN,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,5,Ruby Tandoh,6,IN,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,20,"Southend, Essex",History of Art and Philosophy Student
4,5,Kimberley Wilson,7,IN,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack,30,London,Psychologist
4,5,Howard Middleton,8,IN,Breakfast Traybake,Japanese Pagoda Tea Tower,51,Sheffield,Council Worker
4,5,Ali Imdad,NA,NA,NA,NA,25,"Saltley, Birmingham",Charity worker
4,5,Deborah Manger,NA,NA,NA,NA,51,Peterborough,Dentist
4,5,Lucy Bellamy,NA,NA,NA,NA,38,"Grimsby, Lincolnshire",Horticulturist
4,5,Mark Onley,NA,NA,NA,NA,37,Milton Keynes,Carpenter and Kitchen Fitter
4,5,Toby Waterworth,NA,NA,NA,NA,30,"Reading, Berkshire",Web Programmer
4,6,Ruby Tandoh,1,STAR BAKER,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,20,"Southend, Essex",History of Art and Philosophy Student
4,6,Frances Quinn,2,IN,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,6,Kimberley Wilson,3,IN,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,30,London,Psychologist
4,6,Christine Wallace,4,IN,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,66,"Didcot, Oxfordshire",Director of an engraving company
4,6,Glenn Cosby,5,IN,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,37,"Teignmouth, Devon",English Teacher
4,6,Beca Lyne-Pirkis,6,IN,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,6,Howard Middleton,7,OUT,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,51,Sheffield,Council Worker
4,6,Ali Imdad,NA,NA,NA,NA,25,"Saltley, Birmingham",Charity worker
4,6,Deborah Manger,NA,NA,NA,NA,51,Peterborough,Dentist
4,6,Lucy Bellamy,NA,NA,NA,NA,38,"Grimsby, Lincolnshire",Horticulturist
4,6,Mark Onley,NA,NA,NA,NA,37,Milton Keynes,Carpenter and Kitchen Fitter
4,6,Robert Smart,NA,NA,NA,NA,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,6,Toby Waterworth,NA,NA,NA,NA,30,"Reading, Berkshire",Web Programmer
4,7,Beca Lyne-Pirkis,1,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,7,Ruby Tandoh,2,IN,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,20,"Southend, Essex",History of Art and Philosophy Student
4,7,Glenn Cosby,3,OUT,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,37,"Teignmouth, Devon",English Teacher
4,7,Kimberley Wilson,4,IN,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",30,London,Psychologist
4,7,Frances Quinn,5,STAR BAKER,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,7,Christine Wallace,6,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,66,"Didcot, Oxfordshire",Director of an engraving company
4,7,Ali Imdad,NA,NA,NA,NA,25,"Saltley, Birmingham",Charity worker
4,7,Deborah Manger,NA,NA,NA,NA,51,Peterborough,Dentist
4,7,Howard Middleton,NA,NA,NA,NA,51,Sheffield,Council Worker
4,7,Lucy Bellamy,NA,NA,NA,NA,38,"Grimsby, Lincolnshire",Horticulturist
4,7,Mark Onley,NA,NA,NA,NA,37,Milton Keynes,Carpenter and Kitchen Fitter
4,7,Robert Smart,NA,NA,NA,NA,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,7,Toby Waterworth,NA,NA,NA,NA,30,"Reading, Berkshire",Web Programmer
4,8,Ruby Tandoh,1,STAR BAKER,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,20,"Southend, Essex",History of Art and Philosophy Student
4,8,Kimberley Wilson,2,IN,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,30,London,Psychologist
4,8,Frances Quinn,3,IN,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,8,Beca Lyne-Pirkis,4,IN,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,8,Christine Wallace,5,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,66,"Didcot, Oxfordshire",Director of an engraving company
4,8,Ali Imdad,NA,NA,NA,NA,25,"Saltley, Birmingham",Charity worker
4,8,Deborah Manger,NA,NA,NA,NA,51,Peterborough,Dentist
4,8,Glenn Cosby,NA,NA,NA,NA,37,"Teignmouth, Devon",English Teacher
4,8,Howard Middleton,NA,NA,NA,NA,51,Sheffield,Council Worker
4,8,Lucy Bellamy,NA,NA,NA,NA,38,"Grimsby, Lincolnshire",Horticulturist
4,8,Mark Onley,NA,NA,NA,NA,37,Milton Keynes,Carpenter and Kitchen Fitter
4,8,Robert Smart,NA,NA,NA,NA,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,8,Toby Waterworth,NA,NA,NA,NA,30,"Reading, Berkshire",Web Programmer
4,9,Kimberley Wilson,1,STAR BAKER,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,30,London,Psychologist
4,9,Frances Quinn,2,IN,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,9,Beca Lyne-Pirkis,3,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,9,Ruby Tandoh,4,IN,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",20,"Southend, Essex",History of Art and Philosophy Student
4,9,Ali Imdad,NA,NA,NA,NA,25,"Saltley, Birmingham",Charity worker
4,9,Christine Wallace,NA,NA,NA,NA,66,"Didcot, Oxfordshire",Director of an engraving company
4,9,Deborah Manger,NA,NA,NA,NA,51,Peterborough,Dentist
4,9,Glenn Cosby,NA,NA,NA,NA,37,"Teignmouth, Devon",English Teacher
4,9,Howard Middleton,NA,NA,NA,NA,51,Sheffield,Council Worker
4,9,Lucy Bellamy,NA,NA,NA,NA,38,"Grimsby, Lincolnshire",Horticulturist
4,9,Mark Onley,NA,NA,NA,NA,37,Milton Keynes,Carpenter and Kitchen Fitter
4,9,Robert Smart,NA,NA,NA,NA,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,9,Toby Waterworth,NA,NA,NA,NA,30,"Reading, Berkshire",Web Programmer
4,10,Kimberley Wilson,1,Runner-up,Chicken and Pig Pie,Languages of Love Wedding Cake,30,London,Psychologist
4,10,Ruby Tandoh,2,Runner-up,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",20,"Southend, Essex",History of Art and Philosophy Student
4,10,Frances Quinn,3,WINNER,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,31,"Market Harborough, Leicestershire",Children's Clothes Designer
4,10,Ali Imdad,NA,NA,NA,NA,25,"Saltley, Birmingham",Charity worker
4,10,Beca Lyne-Pirkis,NA,NA,NA,NA,31,"Aldershot, Hampshire",Military Wives' Choir Singer
4,10,Christine Wallace,NA,NA,NA,NA,66,"Didcot, Oxfordshire",Director of an engraving company
4,10,Deborah Manger,NA,NA,NA,NA,51,Peterborough,Dentist
4,10,Glenn Cosby,NA,NA,NA,NA,37,"Teignmouth, Devon",English Teacher
4,10,Howard Middleton,NA,NA,NA,NA,51,Sheffield,Council Worker
4,10,Lucy Bellamy,NA,NA,NA,NA,38,"Grimsby, Lincolnshire",Horticulturist
4,10,Mark Onley,NA,NA,NA,NA,37,Milton Keynes,Carpenter and Kitchen Fitter
4,10,Robert Smart,NA,NA,NA,NA,54,"Melbourn, Cambridgeshire",Space Satellite Designer
4,10,Toby Waterworth,NA,NA,NA,NA,30,"Reading, Berkshire",Web Programmer
5,1,Nancy Birtwhistle,1,STAR BAKER,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,1,Martha Collison,2,IN,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes,17,"Ascot, Berkshire",Student
5,1,Chetna Makan,3,IN,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,35,"Broadstairs, Kent",Fashion Designer
5,1,Iain Watters,4,IN,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",31,London/Belfast,Construction Engineer
5,1,Diana Beard,5,IN,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,1,Kate Henry,6,IN,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges,41,"Brighton, East Sussex",Furniture Restorer
5,1,Luis Troyano,7,IN,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles,42,"Poynton, Cheshire",Graphic Designer
5,1,Claire Goodwin,8,OUT,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,1,Enwezor Nzegwu,9,IN,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,39,"Portsmouth, Hampshire",Business Consultant
5,1,Richard Burr,10,IN,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,38,"Mill Hill, London",Builder
5,1,Norman Calder,11,IN,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,66,"Portknockie, Moray",Retired Naval Officer
5,1,Jordan Cox,12,IN,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,32,"Sneinton, Nottingham",IT Manager
